h_address,h_link,h_ranking_users,h_star,r_average,r_excellent,r_poor,r_terrible,r_very_good
"Joaquin Costa, 40 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d646546-Reviews-Hotel_Acta_BCN_40-Barcelona_Catalonia.html,238,2.0,50,128,11,13,146
"Carrer Sant Bertran 2 , 08039 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1204602-Reviews-Nou_Rambla_Loft_Apartments-Barcelona_Catalonia.html,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Carrer de Valencia 194 , 08011 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1211630-Reviews-Hotel_Services_Apartments_City_Barcelona-Barcelona_Catalonia.html,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,https://www.tripadvisor.com/Hotel_Review-g187497-d619688-Reviews-Hotel_Peru_Playa-Barcelona_Catalonia.html,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Poligono Mas Blau , 08820 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d582238-Reviews-HLG_Airprat-Barcelona_Catalonia.html,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Carrer de la Fruita, 3 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1227055-Reviews-Gothic_Residential-Barcelona_Catalonia.html,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Avinguda DIagonal, 8002 , 8002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1196970-Reviews-Feramblas_Apartment-Barcelona_Catalonia.html,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Miret i Sans 5 y 7 , 08034 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d651627-Reviews-Europedralbes_Hotel-Barcelona_Catalonia.html,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Avinguda Diagonal,  8587 , 8587 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1217108-Reviews-El_Vilar-Barcelona_Catalonia.html,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Torrent de les Flors 115, 08012 , 8012 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1205453-Reviews-Diamante-Barcelona_Catalonia.html,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Carrer Calvet, 17 , 08021 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1202248-Reviews-Avenir-Barcelona_Catalonia.html,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Enric Granados 113 , 08036 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1204572-Reviews-Apt_Granados_Guest_Rooms-Barcelona_Catalonia.html,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"c/ Quintana, 6 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d6482016-Reviews-Apartamentos_Flats_Club-Barcelona_Catalonia.html,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Carrer d'En Roig 23 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1217389-Reviews-Medena-Barcelona_Catalonia.html,499,NaN,0,0,0,3,0
"Carrer Sant Pau, 47 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1217192-Reviews-AR_Barcelona_Liceo_Ramblas-Barcelona_Catalonia.html,494,NaN,0,0,0,1,0
"c/ Roger de Lluria, 47 , 08009 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d678843-Reviews-Agua_Alegre-Barcelona_Catalonia.html,491,NaN,8,6,6,7,10
"C/ Boqueria, 12 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d286161-Reviews-Pension_Dali-Barcelona_Catalonia.html,488,NaN,12,5,3,14,9
"A2 Barcelona - Lleida Km 570 , 08294 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d651635-Reviews-Hotel_Bruc-Barcelona_Catalonia.html,486,NaN,0,1,3,2,0
"Passatge Pages, 11 , 08013 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d6981331-Reviews-Hostal_Bia-Barcelona_Catalonia.html,496,NaN,12,3,8,8,15
"Calle Santa Anna 35 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1194869-Reviews-Modernista-Barcelona_Catalonia.html,481,NaN,1,0,0,0,0
"Gran Via Corts Catalanes, 327 , 08014 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d651516-Reviews-Aparthotel_Acces-Barcelona_Catalonia.html,480,NaN,1,0,0,0,0
"Calle Merce, 11 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1227115-Reviews-Avimer_31-Barcelona_Catalonia.html,479,NaN,0,1,0,1,0
"Carrer Pintor Gimeno, 2 , 08022 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1412362-Reviews-Sant_Gervasi_Apartment_Barcelona-Barcelona_Catalonia.html,478,4.0,1,0,0,0,0
"Carrer Laberint, 1 , 08005 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1202241-Reviews-Laberint-Barcelona_Catalonia.html,477,NaN,0,0,0,0,1
"Amilcar, 118 , 08032 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d651517-Reviews-Hotel_Amilcar-Barcelona_Catalonia.html,476,NaN,1,2,0,0,0
"Passatge Mercat, 4-6 , 08009 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1828347-Reviews-Casa_Amalia-Barcelona_Catalonia.html,475,NaN,0,1,1,0,0
"Carrer Correu Vell 6 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1799581-Reviews-Gothic_Downtown_1-Barcelona_Catalonia.html,474,NaN,0,0,0,0,1
"C/Bobila, 19-23 , 08004 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d651632-Reviews-Hotel_Alhambra-Barcelona_Catalonia.html,473,NaN,1,0,0,0,1
"Calle Numancia 42 08029 , 08029 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1204640-Reviews-The_Sunset-Barcelona_Catalonia.html,472,NaN,0,0,0,0,1
NaN,https://www.tripadvisor.com/Hotel_Review-g187497-d1125694-Reviews-Harbour_Palace_2-Barcelona_Catalonia.html,471,NaN,0,1,0,0,0
"Carrer de Mallorca , Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1754263-Reviews-B_B_Trilobite_Barcelona-Barcelona_Catalonia.html,469,NaN,0,1,0,0,0
"Dagueria 1 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1204615-Reviews-Apartments_Jaume_I-Barcelona_Catalonia.html,468,NaN,2,1,2,0,3
